Texto, Usuario, Fecha_creacion
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@BillyIsASilly,Fri Aug 21 21:28:39 +0000 2020
RT @one_missouri: We're continuing to see big increases in COVID cases in rural Missouri. Please<coma> people-do the right thing for yourself &amp;…,@JohnKiehneForMo,Fri Aug 21 21:28:39 +0000 2020
@FALLlNGRUEL Season 2 of The Society was scheduled to film in April too until Covid hit. I knew people who were supposed to be on the crew.,@TomSteffler,Fri Aug 21 21:28:39 +0000 2020
RT @benshapiro: Some covid stats: 1. NY deaths reported yesterday: 7<coma> 0 in NYC 2. NJ: 8 3. Deaths dropping precipitously in FL<coma> GA<coma> AZ 4. U…,@ADelbrocco,Fri Aug 21 21:28:39 +0000 2020
RT @cravecreative: You see.  FEAR the COVID. Can you just imagine growing up fearing illness instead of accepting it as a way of life? Chil…,@jennife75925702,Fri Aug 21 21:28:39 +0000 2020
Quando vc pensar em uma azinha cara de pau l<coma>e só lembrarem desse Twitte da @monicabergamo 🤷‍♂️,@GadielOliveira7,Fri Aug 21 21:28:39 +0000 2020
Murió por Covid-19 el director de desarrollo social de la Alcaldía Los Guayos en Carabobo https://t.co/U0lwpE67Hx,@la_patilla,Fri Aug 21 21:28:39 +0000 2020
RT @ridgeisback: Covid has never added up from day 1. But facemasks for shoppers not assistants. For amateur boxers not professionals.  For…,@KeithRule58,Fri Aug 21 21:28:39 +0000 2020
RT @ZeroCOVIDIsland: Opening schools poses risks to students<coma> risks to teachers<coma> and risks to community transmission. The closer we get to…,@Artemitzi,Fri Aug 21 21:28:39 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@alexisxtyson,Fri Aug 21 21:28:39 +0000 2020
RT @BarbraStreisand: Joe Biden made clear that the USA didn’t have to be #1 in the world in covid infections and deaths. He will listen to…,@JorgeOrama,Fri Aug 21 21:28:39 +0000 2020
RT @fascinatorfun: It is all our jobs to ensure that Brexit damage CANNOT be hidden in Covid damage.,@sunshineonleith,Fri Aug 21 21:28:39 +0000 2020
RT @GbbGenclikSpor: Bugün Umut Mahallesi-Umut  İlkokulu’ndaydık.  Çocuklarımıza Covid-19 ile ilgili bilgilendirmelerde bulunurken<coma> esnaflar…,@Ayseoduncu5,Fri Aug 21 21:28:39 +0000 2020
RT @FBSaunders: Ousted @HealthyFla data expert @GeoRebekah has partnered with @finmango to create a website tracking COVID cases in schools…,@finmango,Fri Aug 21 21:28:39 +0000 2020
RT @OldCodger15: BBC 6:0 o’clock fake news ...Just read the small print!      ... Then check the NHS England web site which states just  1<coma>…,@MelPemberton19,Fri Aug 21 21:28:39 +0000 2020
Utterly unsurprising. https://t.co/WSsvmVzHc5,@Aphemia66,Fri Aug 21 21:28:39 +0000 2020
RT @ActualidadRT: El servicio de salud de la URSS acabó con las peores epidemias gracias a campañas que inspiraron al resto del mundo. Te c…,@AlexPrezSnchez1,Fri Aug 21 21:28:39 +0000 2020
RT @tpwkxwalls: NO ME PIENSO UNIR CON LAS ARMYS PORQUE FUERON LAS QUE TIRARON MIERDA A L<coma> SE BURLARON DE LA SALUD DE Z<coma> NOS INTENTARON CAGA…,@luchofernet,Fri Aug 21 21:28:40 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@elliesaysACAB,Fri Aug 21 21:28:40 +0000 2020
RT @Mippcivzla: #EnVivo 🔴 | Pdte. @NicolasMaduro: La ozonoterapia es una gran herramienta para desinfectar los espacios. Debemos hacer una…,@SarahyDelgado14,Fri Aug 21 21:28:40 +0000 2020
RT @MayoClinic: Mayo Clinic is proud to be a part of the fight against COVID-19. If you or someone you know have recovered<coma> join us to unit…,@Vinylpoodle,Fri Aug 21 21:28:40 +0000 2020
RT @mariaroquemende: Les pido que me ayuden con un rt para la liberación de mi esposo Héctor Roque es completamente inocente está en peligr…,@ComRefuto,Fri Aug 21 21:28:40 +0000 2020
RT @DailyMail: Georgia school board member sends out newsletter calling COVID-19 'the China virus' https://t.co/d0lNvSQLoK,@whiteshark902,Fri Aug 21 21:28:40 +0000 2020
